ISim log file
Running: D:\CO\CO_P7\mips_auto_txt_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/CO/CO_P7/mips_auto_txt_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                  38@00003000: $ 8 <= 00000401
                  62@00003018: $16 <= 00000000
                  66@0000301c: $ 8 <= 00000003
                  70@00003020: $ 9 <= 00007f04
                  78@00003028: $ 8 <= 00000009
                  82@0000302c: $ 9 <= 00007f00
                  90@00003034: $ 8 <= 00000000
                  94@00003038: $ 8 <= 00000001
                  98@0000303c: $ 8 <= 00000002
                 102@00003040: $ 8 <= 00000003
                 106@00003044: $ 8 <= 00000004
                 126@00004180: $ 8 <= 00000403
                 130@00004184: $ 8 <= 00000400
                 134@00004188: $ 8 <= 00003048
                 138@0000418c: $ 8 <= 00000000
                 154@000041bc: $ 8 <= 00000400
                 162@000041c0: $ 8 <= 00000400
                 178@000041cc: $ 9 <= 00007f00
                 218@00004180: $ 8 <= 00000403
                 222@00004184: $ 8 <= 00000010
                 226@00004188: $ 8 <= 00003048
                 230@0000418c: $ 8 <= 00000000
                 246@000041bc: $ 8 <= 00000010
                 254@000041c0: $ 8 <= 00000000
                 270@000041dc: $ 9 <= 00003048
                 278@000041e0: $ 9 <= 0000304c
                 302@0000304c: $ 8 <= 00000005
                 306@00003050: $ 8 <= 00000006
                 310@00003054: $ 8 <= 00000007
                 314@00003058: $16 <= 00000001
                 334@00004180: $ 8 <= 00000403
                 338@00004184: $ 8 <= 00000010
                 342@00004188: $ 8 <= 0000305c
                 346@0000418c: $ 8 <= 00000000
                 362@00004198: $ 8 <= 00000001
                 378@000041f0: $ 8 <= 0000305c
                 386@000041f4: $ 8 <= 00003060
                 390@000041f8: $ 9 <= 00000001
                 394@000041fc: $10 <= 00000002
                 426@00003060: $ 8 <= 00000008
                 430@00003064: $ 8 <= 00000009
                 434@00003068: $16 <= 00000002
                 438@0000306c: $ 9 <= 00000004
                 462@00004180: $ 8 <= 00000403
                 466@00004184: $ 8 <= 00000010
                 470@00004188: $ 8 <= 00003074
                 474@0000418c: $ 8 <= 00000000
                 490@00004198: $ 8 <= 00000001
                 506@000041a4: $ 8 <= 00000002
                 522@00004214: $ 8 <= 00003074
                 530@00004218: $ 8 <= 0000307c
                 554@0000307c: $ 8 <= 00000000
                 558@00003080: $ 9 <= 00000004
                 578@00004180: $ 8 <= 00000403
                 582@00004184: $ 8 <= 00000010
                 586@00004188: $ 8 <= 00003084
                 590@0000418c: $ 8 <= 00000000
                 606@00004198: $ 8 <= 00000001
                 622@000041a4: $ 8 <= 00000002
                 638@00004214: $ 8 <= 00003084
                 646@00004218: $ 8 <= 0000308c
                 670@0000308c: $ 8 <= 00000000
